,Name,Pos.,Height,From,To,Seasons
4,Wayne Ellington,SG,1.93/ 6'4'',2009,2021,12
5,Joel Embiid,C,2.13/ 7'0'',2016,2021,5
6,Drew Eubanks,C,2.06/ 6'9'',2018,2021,3
0,Tacko Fall,C,2.26/ 7'5'',2019,2021,2
1,Derrick Favors,C/PF,2.06/ 6'9'',2010,2021,11
2,Bruno Fernando,C,2.06/ 6'9'',2019,2021,2
3,Dorian Finney-Smith,SF/PF,2.01/ 6'7'',2016,2021,5
4,Malachi Flynn,PG/SG,1.85/ 6'1'',2020,2021,1
5,Bryn Forbes,SG/PG,1.88/ 6'2'',2016,2021,5
6,Trent Forrest,SG,1.93/ 6'4'',2020,2021,1
7,Evan Fournier,SG/SF,2.01/ 6'7'',2012,2021,9
8,De'Aaron Fox,PG,1.91/ 6'3'',2017,2021,4
9,Markelle Fultz,PG/SG,1.91/ 6'3'',2017,2021,4
0,Wenyen Gabriel,PF/SF,2.06/ 6'9'',2019,2021,2
1,Daniel Gafford,C,2.08/ 6'10'',2019,2021,2
2,Danilo Gallinari,PF/SF,2.08/ 6'10'',2008,2021,12
3,Darius Garland,PG,1.85/ 6'1'',2019,2021,2
7,Rudy Gay,PF/SF,2.03/ 6'8'',2006,2021,15
8,Paul George,SG/SF,2.03/ 6'8'',2010,2021,11
9,Taj Gibson,C/PF,2.06/ 6'9'',2009,2021,12
11,Harry Giles,C/PF,2.11/ 6'11'',2018,2021,3
12,Shai Gilgeous-Alexander,PG/SG,1.96/ 6'5'',2018,2021,3
13,Anthony Gill,PF,2.03/ 6'8'',2020,2021,1
14,Freddie Gillespie,C/PF,2.06/ 6'9'',2020,2021,1
15,Rudy Gobert,C,2.16/ 7'1'',2013,2021,8
16,Aaron Gordon,PF/SF,2.03/ 6'8'',2014,2021,7
17,Eric Gordon,SG/PG,1.91/ 6'3'',2008,2021,13
18,Devonte' Graham,PG,1.85/ 6'1'',2018,2021,3
19,Jerami Grant,PF/SF,2.03/ 6'8'',2014,2021,7
20,Danny Green,SF,1.98/ 6'6'',2009,2021,12
21,Draymond Green,PF/C,1.98/ 6'6'',2012,2021,9
23,JaMychal Green,PF/C,2.03/ 6'8'',2014,2021,7
24,Javonte Green,SG/SF,1.93/ 6'4'',2019,2021,2
